xml,total_accesions,filtered_coverage,filtered_ident,filtered_total,output_accessionschr_502+CDS516.xml,13,6,1,6,6
chr_701+CDS282.xml,50,0,0,50,10
chr_701+CDS106.xml,50,0,0,50,10
chr_702+CDS593.xml,50,1,21,28,9
chr_502+CDS151.xml,50,0,20,30,9
chr_802+CDS176.xml,50,0,0,50,10
chr_802+CDS90.xml,50,3,10,37,10
chr_802+CDS382.xml,50,0,0,50,10
chr_302+CDS595.xml,50,0,23,27,12
chr_402+CDS525.xml,50,20,9,21,7
chr_302+CDS227.xml,50,0,7,43,12
chr_801+CDS408.xml,50,2,0,48,10
chr_601+CDS368.xml,50,2,24,24,12
chr_301+CDS70.xml,50,3,8,39,10
chr_801+CDS270.xml,50,17,9,24,12
chr_702+CDS488.xml,50,0,6,44,12
chr_601+CDS845.xml,50,1,14,35,12
chr_802+CDS792.xml,50,0,0,50,10
chr_601+CDS47.xml,50,1,9,40,10
chr_601+CDS1163.xml,50,0,0,50,10
chr_502+CDS259.xml,50,0,10,40,10
chr_502+CDS397.xml,50,0,0,50,10
chr_802+CDS900.xml,50,4,34,12,12
chr_102+CDS359.xml,50,0,17,33,12
chr_202+CDS1159.xml,50,0,0,50,10
chr_702+CDS304.xml,50,15,0,35,12
chr_402+CDS898.xml,50,2,10,38,10
chr_101+CDS109.xml,33,2,6,25,12
chr_102+CDS250.xml,50,42,1,7,7
chr_802+CDS697.xml,50,0,11,39,10
chr_802+CDS998.xml,50,0,9,41,10
chr_102+CDS571.xml,50,0,0,50,10
chr_101+CDS1.xml,50,10,31,9,9
chr_201+CDS202.xml,50,0,6,44,12
chr_301+CDS181.xml,50,2,24,24,12
chr_402+CDS311.xml,50,1,0,49,10
chr_101+CDS461.xml,50,0,0,50,10
chr_801+CDS506.xml,50,0,0,50,10
chr_701+CDS384.xml,50,1,0,49,10
chr_801+CDS31.xml,50,0,19,31,9
chr_301+CDS306.xml,50,3,22,25,12
chr_202+CDS309.xml,50,0,27,23,12
chr_401+CDS714.xml,48,4,12,32,12
chr_601+CDS238.xml,50,12,0,38,10
chr_501+CDS78.xml,50,0,6,44,12
chr_302+CDS122.xml,50,13,12,25,12
chr_202+CDS167.xml,50,1,36,13,12
chr_201+CDS322.xml,50,3,0,47,12
chr_301+CDS385.xml,50,0,9,41,10
chr_401+CDS284.xml,50,38,1,11,11
chr_802+CDS476.xml,50,0,0,50,10
chr_401+CDS608.xml,50,0,0,50,10
chr_802+CDS283.xml,50,0,13,37,10
chr_201+CDS80.xml,50,1,13,36,12
chr_401+CDS486.xml,50,0,20,30,9
chr_502+CDS25.xml,50,0,0,50,10
chr_102+CDS470.xml,50,4,0,46,12
chr_401+CDS81.xml,50,7,15,28,9
chr_101+CDS224.xml,50,0,8,42,12
chr_601+CDS1044.xml,50,0,5,45,12
chr_702+CDS813.xml,50,0,0,50,10
chr_502+CDS594.xml,50,0,0,50,10
chr_102+CDS136.xml,50,0,12,38,10
chr_202+CDS901.xml,50,0,13,37,10
chr_302+CDS473.xml,50,3,11,36,12
chr_601+CDS657.xml,50,0,0,50,10
chr_402+CDS78.xml,50,1,0,49,10
chr_702+CDS207.xml,50,0,11,39,10
chr_301+CDS591.xml,50,3,16,31,9
chr_601+CDS941.xml,50,9,5,36,12
chr_701+CDS198.xml,50,0,5,45,12
chr_801+CDS162.xml,50,0,0,50,10
chr_401+CDS373.xml,50,0,0,50,10
chr_402+CDS661.xml,50,0,0,50,10
chr_202+CDS447.xml,50,0,0,50,10
chr_601+CDS145.xml,50,2,21,27,12
chr_601+CDS1264.xml,50,0,0,50,10
chr_402+CDS1111.xml,50,0,41,9,9
chr_301+CDS495.xml,50,0,0,50,10
chr_302+CDS356.xml,50,1,17,32,12
chr_502+CDS700.xml,50,0,1,49,10
chr_601+CDS520.xml,50,0,29,21,7
chr_702+CDS693.xml,50,2,11,37,10
chr_102+CDS26.xml,50,0,0,50,10
chr_401+CDS177.xml,50,2,2,46,12
chr_402+CDS206.xml,50,0,0,50,10
chr_402+CDS775.xml,50,0,0,50,10
